Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
4681,ROSACEAE,115.0,1892,Eudicot,4.0915117263793945,8.568611145019531,0.126833242514067,2.916202239062841,-0.7969104230878892,-0.4182508548393917,18
16546,PINACEAE,46.0,1892,Pinopsida,2.110780000686645,8.740283012390137,5.393005275621135,-0.338222341720666,-0.6736596733539914,-0.5968103924167156,7
12437,PINACEAE,56.0,1892,Pinopsida,2.431735038757324,8.977561950683594,5.058763909911704,0.147553453967248,-0.5112582720580404,-0.740685479304291,0
12393,PINACEAE,46.0,1892,Pinopsida,2.280966758728028,9.179888725280762,4.72920287778561,1.3563168938858323,-0.3191443983382824,-0.8415146184168735,0
16395,ROSACEAE,119.0,1892,Eudicot,4.137759208679199,8.542038917541504,5.328504233723379,-0.7124375152493485,-0.1084830122297912,-0.8934379866882488,18
4681,ROSACEAE,115.0,1892,Eudicot,4.0915117263793945,8.568611145019531,0.1960098121771807,2.818568638700981,0.1084830122297901,-0.8934379866882489,18
17404,TAXACEAE,56.0,1892,Pinopsida,2.305959224700928,9.04988956451416,3.4636803829798737,1.022984582866684,0.3191443983382821,-0.8415146184168736,0
16536,PINACEAE,58.0,1892,Pinopsida,2.281699657440185,9.191421508789062,4.068069120676228,1.3817547192343227,0.5112582720580402,-0.7406854793042911,0
12453,ARALIACEAE,103.0,1892,Eudicot,4.094569206237793,8.688446998596191,5.086389844180758,-0.7832199526533259,0.6736596733539909,-0.5968103924167162,18
12453,ARALIACEAE,103.0,1892,Eudicot,4.094569206237793,8.688446998596191,3.400418747618687,3.0188100973537075,0.7969104230878888,-0.4182508548393924,18
4681,ROSACEAE,115.0,1892,Eudicot,4.0915117263793945,8.568611145019531,0.1870869502022287,2.873698184153909,0.8738476356834468,-0.2153840978588028,18
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,1.3200842556309451,2.596733167667935,0.9500000000000004,0.0,0
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,1.2772072293478232,2.6227821761776795,0.7685661446562003,0.5583959896778496,0
605-2,NYSSACEAE,98.0,1893,Monocot,2.348820447921753,8.87984848022461,1.220951917304319,2.614787645454271,0.2935661446562002,0.903503690480396,0
